,Atalanta,Bologna,Cremonese,Empoli,Fiorentina,Inter,Juventus,Lazio,Lecce,Milan,Monza,Napoli,Roma,Salernitana,Sampdoria,Sassuolo,Spezia,Torino,Udinese,Verona
Atalanta,0,,,,,,,,,,,,,,,,,,,
Bologna,,0,,,,,,,,,,,,,,,,,,
Cremonese,,,0,,,,,,,,,,,,,,,,,
Empoli,,,,0,,,,,,,,,,,,,,,,
Fiorentina,,,6,4,0,,,,,,,,,,,,,,,
Inter,,,6,,,0,,,,,,,,,,,,,,
Juventus,,,,,,,0,,,,,,,,,,,,,
Lazio,,6,,,,3,,0,,,,,,,,,,,,
Lecce,,,,2,,0,,,0,,,,,,,,,,,
Milan,4,6,,,,,,,,0,,,,,,,,,,
Monza,,,,,,,,,,,0,,,,,,,,,
Napoli,,,,,4,,,,4,,6,0,,,,,,,,
Roma,,,6,,,,1,,,,6,,0,,,,,,,
Salernitana,,2,,,,,,,,,,,0,0,,,,,,
Sampdoria,0,,,,,,1,1,,,,,,1,0,,,,,
Sassuolo,,,,,,,0,,6,1,,,,,,0,,,,
Spezia,,,,3,,0,0,,,,,,,,,1,0,,,
Torino,1,,6,,,,,1,,,6,,,,,,,0,,
Udinese,,,,,3,,,,,1,6,,,2,,,,,0,
Verona,0,2,,2,,,,,,,,0,,,,,,,,0
